40	5235
67	7043
35	2150
45	3158
33	1028
60	5676
28	4705
66	7999
31	5362
56	7911
48	2219
70	4342
32	8300
45	5763
52	5172
21	7287
47	9574
37	1212
59	1048
53	5110
30	8903
42	6693
30	9246
38	1916
46	8546
38	4565
61	8444
34	7396
55	2433
43	2095
32	4242
52	3121
24	5211
58	3721
55	4429
43	1829
45	5141
53	4271
20	4964
46	9206
43	4891
41	2797
33	1832
36	3090
19	1770
24	3385
39	9284
37	1842
39	4692
47	3664
29	3671
27	4714
23	5234
51	3774
19	7428
29	8395
36	2334
63	4540
19	2716
64	6168
25	2517
20	5448
28	9489
38	5056
68	4122
62	5307
41	7546
50	3821
48	1955
51	7196
20	7074
68	6320
51	6353
30	9267
20	3456
25	4076
30	5387
31	3270
65	7429
58	3393
60	1483
27	1565
62	5215
70	1709
29	8614
52	5379
63	6273
23	1828
31	8325
38	5398
19	7573
50	8602
36	2152
43	3605
30	4298
33	1879
31	6684
49	8481
51	1968
27	3287
